Kor,Eng
영원히꿈에서깨고싶지않아최근의{PlayerName}은(는)나에게다정한모습보여주지않으니까물론너도그럴만한이유가있는걸알고있지만그래도사랑하니까나도어쩔수없었어사랑하는사람이죽어가는건이제그만보고싶단말이야너가날이해해준다면좋을텐데사실대로전부말하려고하면입이닫힌단말이야꿈에서도마찬가지고{PlayerName}도분명이런상황이었으면나랑똑같이했을거야차라리내가죽는다면좋을텐데난태어나면안됐으니까난죽어야했으니까,
이꿈에서깨고나면{PlayerName}이날따라서외출하는날인걸까?나오지말라고해도따라나오겠지?왜이렇게내말을못믿어주는지모르겠네예전엔분명잘들어줬던것같은데집에서못나오게막아두기라도하고싶은데그치만외출을못하게막아버리면또혼자죽어버리고마니까외출은하게해줘야하고왜이렇게쉽게죽어버리는거야?차라리네가날죽여줬으면좋겠어그러면이런일들도모두끝나지않을까나는그냥너와행복하고싶을뿐인데,
무슨 말을 하고 있는 건지 이해가 가지 않는다\n우연은 빠르게 말하며 점점 더 나에게 다가온다.,I can't make sense of what they're saying.\nAccidy is speaking fast` coming closer and closer to me.
우연을 피해 뒷걸음질치다 보니 어느새 방에서 나와 빌라의 복도였다.,As I backpedaled to avoid Accidy` before I knew it I had stepped out of the room and into the villa’s hallway.
더 가까이 오면 이 뒤에는 난간인데,If you come any closer` there’s a railing right behind me...
뭔진 모르겠는데 조금만 진정을 하면 안 될까...?,I don't know what's going on` but could we calm down a little...?
응{PlayerName}난여기있어항상너의곁에있을거야우린꼭행복한미래를얻을수있을거야\n내가그렇게만들거니까내말만잘들어줘꿈에서일어나면우선{PlayerName}에게나오지말아달라고말하고\n그렇게말해도따라오겠지?너무위험한짓을많이하면빨리널데리고집으로돌아와야되겠지,
무슨 말을 하는 거야...\n더 이상 가까이 오면 내가 위험해,What are you talking about...\nIf you come any closer` I'll be in danger.
근데그렇게널데리러가다가너가또죽어버릴수도있으니까조심해야하고그렇게방으로함께돌아오면일주일은외출을하지않을거야다행히그때는딱히외출할일이없는것같으니까하지만그이후는역시흐릿하단말이야기억하기가어려워왜인걸까점점꿈에서할수있는반경이늘어나는만큼현실과꿈은모호해져만가고있어서그런걸까?기억의휘발이빨라져,
꿈과현실이모호해진단말이야점점현실과꿈이가까워지고있어지금도봐봐이곳은우리집이랑너무똑같은모습을하고있잖아전부꿈일게뻔한데왜자꾸나는이곳을벗어나지못하는걸까?이곳을벗어나서꿈꾸기를포기해버리면현실엔날이상하게생각하는{PlayerName}만있겠지나도좋아하는사람한테미움만받는건지쳐사랑받고싶어사랑해사랑해사랑해사랑해사랑해사랑해사랑해미워하지말아줘,
우...우연...!,Ac... Accidy...!
미워하지 않아!,I don't hate you!
응?나불렀어?나랑더오래같이있고싶다는걸까?\n아진짜너무귀엽고사랑스러워♡\덕분에행복해졌어,
그치만이젠꿈에서깨야겠지?곧현실세계에있는{PlayerName}이(가)외출을할시간이거든꿈에서의너도중요하지만나에겐현실속의너도너무소중해이렇게라도또봐서좋네에다음엔좀더다정한말들이듣고싶어예전에해줬던것만같은말들말이야오늘도일어나서꿈일기를적어야지다음번엔더많은걸할수있게될지몰라널가둔걸후회는안하고있지만그래도역시그리운건어쩔수없나봐하지만아무것도안하고싶진않았어나는널세상에서가장사랑해,
꼭 이것만은 믿어줘\n그리고 기억해줘\n꿈에서 깨더라도,No matter what` believe this.\nAnd remember it.\nEven if you wake from the dream.
아아-그렇게말해주는구나\n기뻐\n이래서는꿈에서깨고싶지않아진단말이야\n영원히이곳에머무르고싶어져,
아 우연은 지금 꿈과 현실을 구별하지 못하는 것 같아 보인다.,Ah` Accidy seems unable to tell dreams from reality right now.
난간에 겨우 걸쳐져 있던 몸이 떨어진다.,The body` barely draped over the railing` falls.
우연은 위에서 날 바라보고 있다.,Accidy is looking down at me.
지금 넌 어떤 표정을 하고 있지?,What expression are you making right now?
쿵,Thud.
시야가 흐려져서 너의 얼굴을 볼 수 없다.,My vision is blurring. I can't see your face.
몸이 무겁다.,My body feels heavy.
몸이 차가워진다.,My body is growing cold.
눈이 감긴다.,My eyes are closing.
[필연의 반복] 엔딩,[Fate's Loop] Ending
우연이 뒤를 돌아봤다. ,Accidy looked back.
그 모습에 놀라서 빠르게 걸어서 되돌아왔다.,Startled by the sight` I hurried back.
순간이지만 나를 본 것 같았다.\n분명 눈이 마주쳤던 것으로 기억한다.,It was only for a moment` but I think it saw me.\nI clearly remember our eyes meeting.
전처럼 우연에게 잡힐까 봐 많이 걱정하며 달렸다.,I ran` deeply worried that Accidy would catch me again.
유흥가라 그런지 새벽인데도 사람이 많아서 우연에게 잡히지 않았다.,Maybe because it’s a nightlife district` even though it was dawn there were still lots of people` so I didn’t get caught by Accidy.
우연을 피해 달렸더니 어느새 내가 갇혀있던 방문 앞이었다.,I ran to get away from Accidy` and before I knew it` I was back at the door I’d been locked behind.
주변을 보니 조금씩 밝아지기 시작했다.,As I looked around` it started to brighten little by little.
곧 있으면 아침인가 봐.,I guess it’ll be morning soon.
지금 내 손에는 손잡이가 잡혀 있다.,Right now` I'm holding a handle.
우연에 대해 조금은 알기 시작했다.\n우연은 우연 나름대로의 목표가 있는 것 같다.,I’ve started to learn a little about Accidy.\nAccidy seems to have a goal of their own.
좀 더 명확히 물어본다면 알 수 있을까?,Would I be able to find out if I asked more clearly?
아니면 지금이 우연에게서 벗어날 유일한 기회인 걸까?,Or is now my only chance to escape Accidy?
나는 어떡하지?,What should I do?
나는 우연에게 궁금한 점이 아직 좀 더 남아있다.,I still have a few more questions for Accidy.
하지만 굳이 더 알아가고 싶다는 생각은 들지 않는다.,But I don't feel compelled to dig any deeper.
또한 이 방에 남아있고 싶지 않아...,I don’t want to stay in this room either...
않아,No.
[방을 떠나자.]\n그게 내가 내린 결론이었다.,[Let's leave the room.]\nThat was the conclusion I came to.
우연이 집에 돌아오는 건지 복도 끝에서 우연의 모습이 보인다.,It looks like Accidy is coming home; I can see them at the end of the hallway.
우연이 점차 다가왔다.,Accidy gradually drew closer.
{PlayerName}....?,{PlayerName}....?
{PlayerName} 어디 가려는 거야?,{PlayerName}` where do you think you’re going?
이미 떠나기로 결정했기에 다가오는 우연을 피해 달렸다.,Because I had already decided to leave` I ran to avoid the approaching Accidy.
우연과 이 이상 함께하는 것은 나만 위험해질 뿐이다.,Staying with Accidy any longer will only put me in danger.
우연을 피해 달렸다. ,I ran away from Accidy.
어서 내 집으로 돌아가자.\n그리고 우연의 시선이 닫지 않는 곳에 가서 살아야겠어.,Let's hurry back to my house.\nAnd then I should go live somewhere Accidy's gaze can't reach.
언제 다시 우연이 찾아올지 모르니까....,Because we don't know when Accidy will show up again....
우연은 뒤를 따라오는 것 같다.\n비상계단 위에서 발소리가 들린다.,Accidy seems to be following behind.\nFootsteps can be heard on the emergency stairs above.
더 빨리 달려야 해.,I need to run faster.
한 동안 운동을 못했더니 숨이 더 쉽게 차는 것 같았다.\n돌아가면 운동이나 건강도 좀 살펴야 할 것 같다.,After not being able to exercise for a while` I felt like I was getting out of breath more easily.\nWhen I get back` I should probably pay more attention to exercise and my health.
{PlayerName}!!!!!!!!!,{PlayerName}!!!!!!!!!
생각에 잠겨 횡단보도를 건너던 그때 뒤에서 날 크게 부르는 소리를 들었다.,Lost in thought crossing the crosswalk` I heard a loud voice call out to me from behind.
그 소리에 잠시 멈칫해서 뒤를 돌아봤다.,At that sound` I paused for a moment and looked back.
뒤를 돌아봄과 동시에 날 이끄는 강한 힘에 몸이 뒤로 당겨졌다.,The instant I looked back` a powerful force yanked me backward.
!!!!!!!!,!!!!!!!!
그 순간 내 앞으로 커다란 트럭이 지나갔다.,At that moment` a huge truck passed right in front of me.
조금만 더 내가 나갔다면...\n그리고 우연이 날 당기지 않았다면 죽었을 수도 있을 거리였다..,If I had gone out just a little farther...\nAnd if Accidy hadn't pulled me back` I might have died—it was that close..
놀란 인파 사이에서 다리에 힘이 풀려 주저앉았다.,Amid the startled crowd` my legs gave out and I collapsed.
너무 놀랐는지 시야가 하얘졌다.\n사람들이 주변에서 괜찮냐고 물어오는 소리가 들렸다.,I was so startled my vision went white.\nI could hear people around me asking if I was okay.
신호등에 문제가 있었다는 얘기가 들려온다.,Word is there’s been a problem with the traffic light.
쿵쿵 뛰는 심장을 겨우 안정시키니 시야에 우연이 들어온다.,I barely manage to calm my pounding heart` and Accidy comes into view.
우연이 놀란 표정으로 날 바라본다. ,Accidy looks at me with a startled expression.
이게...무슨 일이지...?\n설마...시간...시간은....,What... what's happening...?\nNo way... time... time is....
...이럴 순 없는데....\n그렇지 않고서야 지금까지 이런 일은....,
뭐라고 말하는 건지 잘 모르겠다.\n우연은 믿기지 않는다는 표정으로 더듬더듬 말을 하고 있었다.,I can't make out what they're saying.\nAccidy is stammering` disbelief written across their face.
떨어진 우연의 핸드폰에는 최근 생긴 병원의 응급실 번호가 찍혀 있었다.,On Accidy's dropped phone` the emergency room number for a recently opened hospital was in the call log.
살아있는 거지? 응?,You're alive` right? Huh?
...이거면 충분해`응.\n만족해야지...만족해야지...만족해야지...\n이거로 만족할래.,...This should be enough`Yeah.\nI should be satisfied... I should be satisfied... I should be satisfied...\nI'll settle for this.
무슨 소리야...?,What's that sound...?
우연은 알 수 없는 혼잣말을 시작한다.,Accidy begins muttering to himself` incoherently.
그러다 한 번 나를 보고 강하게 끌어안았다.,Then` at one point` they looked at me and pulled me into a tight embrace.
귓가에서 말 한 마디를 남기고는 떨어진다.\n후에 한 번 더 내 얼굴을 살폈다.,They whispered a single word in my ear` then drew back.\nAfterward` they studied my face once more.
그리고 말 없이 나를 두고 일어났다.,And without a word` they stood up and left me behind.
혼란스러운 인파 사이로 우연이 사라진다.,Accidy vanishes into the chaotic crowd.
그 이후로 가끔 그 애가 생각나지만 굳이 찾아보진 않았다. ,Since then` I sometimes think of that person` but I haven’t bothered to look them up.
그 애가 날 왜 감금했는지도 알지 못한다.,I don’t even know why they locked me up.
하지만 가끔씩 시선이 느껴지는 것 같은 기분을 느끼기도 한다. ,But sometimes I feel as though I’m being watched.
마지막에 남긴 말의 의미는 아직도 잘 모르겠다.,I still don’t really understand what those last words meant.
"""행복해져""라니","""Be happy`"" you say?"
[우연의 일치] 엔딩,[Coincidence] Ending
지금이라면 반짇고리가 있어서 제대로 곰인형을 뜯어볼 수 있다.,Now that I have a sewing kit` I can properly open up the teddy bear.
곰인형의 심장에 붙은 천을 뜯었다.,I ripped off the cloth attached to the teddy bear’s heart.
안에선 영양제 같은 것이 나왔다.,Inside was something that looked like a supplement.
내용을 살펴봤지만 단순한 기력 보충제다.,I checked the contents` but it’s just a plain stamina booster.
먹어볼까?,Should I take a bite?
예,Yes.
아니오,No
기력보충제를 먹었다.,I took an energy supplement.
체력이 좋아진 기분이야.,I feel like my stamina’s improved.
우연이 뭘 뒀을 줄 알고....,As if Accidy would have left anything....
그냥 먹지 말자.,Let's just not eat it.
감기약이 놓여있던 곳이다.\n약이 처방약으로 바뀌어 있다.,This is where the cold medicine had been.\nIt’s been replaced with prescription medicine.
옆에 놓여진 처방전 같은 것을 보니 정신과 관련된 약이라고 쓰여 있다.,The prescription-like slip lying beside it says it's psychiatric medication.
역시 요즘 계속 이상해 보이던 게 기분 탓은 아니었나 보군....,So I wasn’t just imagining how strange things have been lately....
약이 제대로 안주는 것을 보아 약을 먹는 것조차 까먹는 것 같다.,Judging by how the meds aren’t going down` it seems they’re even forgetting to take them.
제대로 안 먹으면 위험할 텐데.....,It could be dangerous if you don't eat properly.....
...[기다리자.],...[Let's wait.]
지금 우연은 정신 상태가 안 좋아 보인다.,Accidy's mental state doesn't look good right now.
혼자 두고 갔다가 무슨 일이 날지 모른다.,Who knows what could happen if we leave them alone.
날 납치한 납치범을 걱정한다니...,I can’t believe I’m worrying about my kidnapper...
웃겨서 헛웃음이 다 나오네.,It's so absurd I can't help but let out a hollow laugh.
그래도 뭔가 직감이 괜찮다고 말하고 있었다.\n우연은 날 해치지 않을 것 같았다.,Even so` my gut kept telling me it would be okay.\nAccidy didn't seem like they would hurt me.
또한 우연에 대해 계속 알아본 결과 내가 알지 못하는 무언가가 더 있을 것이라는 느낌이 들었다.,Also` as I kept looking into Accidy` I had the feeling there might be something more I didn’t know.
분명 우연과 천천히 대화를 해보면 그 비워진 공백을 메울 수 있지 않을까?,Surely` if I take it slow and talk with Accidy` we could fill that void` couldn’t we?
거기다 왠지 모르지만....\n우연은 날 좋아하는 것 같고...,And on top of that` for some reason....\nIt seems Accidy likes me...
철컥-,Clack-
돌아왔-,I'm back-
뭐야?\n왜 남아있지?\n분명 아까 잠깐 나를 따라온 것 같았는데?,What?\nWhy is it still here?\nI could've sworn it followed me for a moment earlier.
우연이 급하게 돌아와서 날 보자마자 굳었다.,Accidy came rushing back and froze the moment they saw me.
그러고는 중얼거리기 시작했다.,Then they started muttering.
어?\n그게 아니라 너랑 대화를 하고 싶었어서,Huh?\nNo` it’s not that. I just wanted to talk to you.
아닌데이런적은없었는데나갔다면나와함께들어오거나아니면날피해서도망가야하는데왜여기에있는거지?또꿈인건가?응지금까지이렇게남아있어준적없었으니까분명꿈이겠지현실확인이필요해현실확인을해야해...어...방법이뭐였지...?아...,
우연이 내 말은 듣지도 않고 혼잣말을 하기 시작했다.,Accidy didn’t even listen to me and started muttering to themself.
손톱을 너무 과하게 물어뜯는 것 같은데...\n말려야 하는 거 아닌가...?,They're biting their nails way too hard...\nShouldn't I stop them...?
저...저기...우연...?,Um... excuse me... Accidy...?
아아-{PlayerName}♡내이름을불러주는거야?아다정하기도해라♡응응나도사랑해이런모습얼마만이지?이제기억도흐릿하네다정하게이름을불러주던{PlayerName}이라니너무행복해♡근데현실확인과정은없어도되겠어확실해졌거든요즘의{PlayerName}은날다정하게불러주지않으니까예전엔다정하게불러줬던것같은데꿈에서는다정하게부르게할수있으니까좋단말이지-,
영원히꿈에서깨고싶지않아최근의{PlayerName}은(는)나에게다정한모습보여주지않으니까물론너도그럴만한이유가있는걸알고있지만그래도사랑하니까나도어쩔수없었어사랑하는사람이죽어가는건이제그만보고싶단말이야너가날이해해준다면좋을텐데사실대로전부말하려고하면입이닫힌단말이야꿈에서도마찬가지고{PlayerName}도분명이런상황이었으면나랑똑같이했을거야차라리내가죽는다면좋을텐데\n난태어나면안됐으니까난죽어야했으니까,
이꿈에서깨고나면{PlayerName}은(는)또죽어버리는거려나?슬슬끝이다가오고있으니까.으음그렇게되면또바다에가야겠네.나라고기억이남아있는게안무서운건아닌데말이지차라리네가날죽여줬으면좋겠어그러면이런일들도모두끝나지않을까나는그냥너와행복하고싶을뿐인데,
무슨 말을 하고 있는건지 이해가 가지 않는다\n우연은 빠르게 말하며 점점 더 나에게 다가온다.,I can't make sense of what they're saying.\nAccidy speaks quickly` coming closer and closer to me.
우연을 피해 뒷걸음질치다 보니 어느새 방에서 나와 빌라의 복도였다.,As I kept backing away from Accidy` before I knew it I had slipped out of the room and into the villa’s hallway.
더 가까이 오면 이 뒤에는 난간인데,If you come any closer` there’s a railing right behind me...
뭔진 모르겠는데 조금만 진정을 하면 안될까...?,"I don’t know what’s going on` but can we just calm down a little...?"""
응{PlayerName}난여기있어항상너의곁에있을거야우린꼭행복한미래를얻을수있을거야내가그렇게만들거거야얼마의시간이걸리든난꼭해낼거니까.하아다시모든게처음으로돌아간다면나는또뭐부터시작해야하려나.우선학교를그만두고알바부터해야겠지?학교를그만두는건아쉽지만그래야지네가편하게머물수있을테니까.그리고또너무힘들때면우리의흔적을찾아돌아다닐거야.,
무슨 말을 하는 거야...\n더 이상은...내가 위험해,What are you talking about...\nNo more... I'm in danger
슬슬꿈과현실이모호해져점점현실과꿈이가까워지고있어지금도봐봐이곳은우리집이랑너무똑같은모습을하고있잖아전부꿈일게뻔한데왜자꾸나는이곳을벗어나지못하는걸까?이곳을벗어나서꿈꾸기를포기해버리면현실엔날이상하게생각하는{PlayerName}만있겠지나도좋아하는사람한테미움만받는건지쳐사랑받고싶어사랑해사랑해사랑해사랑해사랑해사랑해사랑해미워하지말아줘,
꿈이 아니야.,It’s not a dream.
정신 차려!,Pull yourself together!
정신 차려!\n여긴 꿈이 아니야.,Snap out of it!\nThis isn't a dream.
뭐?,What?
여긴 꿈이 아니라고.\n네 앞에 있는 나를 봐.,This isn't a dream.\nLook at me standing right in front of you.
어... 그러니까....,Um... I mean....
날 떠나지 않은 거야?\n정말로?\n어째서?,You didn’t leave me?\nReally?\nWhy?
내가 떠나길 바랐던 거야?,Did you want me to leave?
우연을 붙잡고 말했다.,I grabbed Accidy and said.
그렇진 않아....\n하지만...이랬던 적은 여태 한번도...,That's not it....\nBut... this has never happened before... not once...
우연의 눈에 빛이 들더니 이내 눈물이 차기 시작했다.,Accidy’s eyes lit up` and soon tears began to well up.
우연은 내 손을 잡고 한동안 가만히 있었다.\n우연을 이끌어 다시 방 안으로 들어갔다.,Accidy took my hand and stayed still for a while.\nI led Accidy back into the room.
난 아직 너를 잘 모르겠어.,I still don’t know you very well.
우는 우연을 앉혀 두고 천천히 말을 걸었다.,They sat the crying Accidy down and slowly spoke to them.
하지만 우리에게 시간은 많아.\n그러니 천천히 얘기해보자.,But we have plenty of time.\nSo let's take it slow and talk.
너의 이야기를 들려주지 않을래?,Would you tell me your story?
지금은 안돼...\n...\n...,Not now...\n...\n...
...다,...
뭐?,What?
바다에 갈래...?\n가서... 가서 말해줄게....,Do you want to go to the beach...?\nWhen we get there... when we get there` I'll tell you....
지금 당장?,Right now?
응.... 이 곳과 가까우니까 괜찮을 거야.\n티켓도 이미 있어.,Yeah... Since it's close by` it should be fine.\nI've already got a ticket` too.
우연은 눈물을 닦고 수납장 안에서 틴케이스를 가지고 왔다.,Accidy wiped away their tears and retrieved a tin case from the cabinet.
틴케이스를 여니 나온 것은 한 장의 티켓이었다.,When I opened the tin case` out came a single ticket.
이미 우연과 대화하기로 했으니 이 정도 억지는 들어줘도 괜찮지 않을까?\n딱히 다른 방법도 없고...,Since I've already decided to talk to Accidy` couldn't you let me get away with this much?\nThere isn't really any other way...
알겠어.,Got it.
그렇게 말해줘서 고마워....,Thanks for saying it like that....
우연은 손으로 내 옷을 꼭 잡고 말했다.,Accidy grabbed my clothes tightly and said.
당장이라도 내가 도망갈 것 같아 두려워 보였다.,They looked afraid I might run away at any moment.
우연은 내 대답을 듣고는 짐도 챙기지 않고는 내 손만 끌고 바다로 향했다.,After hearing my answer` Accidy didn’t even pack a bag—just grabbed my hand and headed straight for the sea.
역에서 바다는 가까웠기에 금방 도착했다.\n시간은 6시 30분을 막 넘긴 시간이었다.,The sea was close to the station` so I arrived in no time.\nIt was just past 6:30.
우연이 해변에 앉길래 나도 그 옆에 앉았다.,Accidy sat down on the beach` so I sat down beside them.
네가 살아서 기뻐...\n나는...나는 오랫동안 너를 살리고 싶었어.,I'm glad you're alive...\nI... I’ve wanted to save you for so long.
그게 무슨 소리야?,What do you mean by that?
너는 기억 못하겠지만 아주 먼 옛날 너는 나를 살려준 적이 있어.\n나 엄마랑 아빠한테 학대를 받고 자랐거든.,You don’t remember` but a very long time ago you saved my life.\nI grew up being abused by my mom and dad.
엄마랑 아빠는 사이비였는데 난 그 종교의 저주받은 날에 태어나서....,Mom and Dad were in a cult` and I was born on that cult’s cursed day....
그래서 늘 나한테 태어나면 안 됐던 아이라고 했어.,So they always told me I was a child who should never have been born.
그때 네가 날 도와줬어.\n기억...못하겠지...?,You helped me back then.\nYou... don't remember... do you?
...그런 기억은 없어.,...I have no memory of that.
그럴 거야.\n그건 처음의 기억이니까....,That must be it.\nBecause it's the first memory....
[날 만나서 나에게 삶의 의미를 알려준 너는 이미 죽었으니까.],[Because you` who met me and taught me the meaning of life` are already dead.]
그 이후의 이야기들은 솔직히 정상적인 말이 아니었다.,The stories that followed` to be honest` weren’t sane.
나는 늘 11월 2일 오전 6시 30분을 넘기기 전에 필연적으로 죽는다고 했다.,I've always said I would inevitably die before 6:30 a.m. on November 2.
이 바다는 첫 번째의 나와 함께 오기로 약속한 곳이라고 한다.,They say this sea is where I promised to come with my first self.
첫 번째의 내가 죽고 이 곳에서 우연도 함께 삶을 끝내고자 했다.,After the first me died` I wanted to end my life here together with Accidy` too.
그리고 우연의 일치인지 우연은 눈을 떠보니 시간은 우리의 첫 만남 일주일 전으로 옮겨져 있었다.,And` by some coincidence` Accidy awoke to find that time had shifted back to a week before our first meeting.
우연의 말에 따르면 자신의 회귀 사실을 발설하려 하면 입이 막혀 아무 말도 할 수 없었다고 한다.,According to Accidy` whenever they tried to reveal that they’d regressed` their mouth would seal shut and they couldn’t say a word.
지금은 처음 맞는 시간이기 때문인지 가능한 것 같아 보이지만...,Right now it seems like it might be possible` maybe because the timing has lined up for the first time` but...
솔직히 나도 못 믿을 것 같았다.\n하지만 우연을 만나고 나서 꾸게 된 기묘한 꿈들 때문인지 아주 조금 이해할 수 있게 되었다.,Honestly` I don't think I could have believed it either.\nBut after meeting Accidy` perhaps because of the eerie dreams I started having` I began to understand` just a little.
꿈이라 생각했던 것들은 꿈이 아니었다는 것처럼 조금씩 선명해졌다.,What I had thought were dreams came into focus little by little` as if they hadn’t been dreams at all.
아직 나는 우연과 나눌 알지 못하는 기억들이 많다.,I still have many memories I don’t yet know how to share with Accidy.
천천히 조금씩 이야기를 나눠보자.,Let's take it slow and talk` little by little.
지금의 우리에겐 시간이 많으니까.,Right now` we have plenty of time.
[필연 속 우연] 엔딩,[Accidy within Fate] Ending
{PlayerName}! 오늘도 별 일 없이 잘 지내고 있었어?,{PlayerName}! Were you doing okay today too—no incidents?
흠... 어째 집이 조금 어수선해졌나 싶기도 하고....,Hmm... somehow` it feels like the house has gotten a bit messy....
들켰나...?,Did I get caught...?
뭐! 기분 탓인가?,What! Is it just my imagination?
기분 탓이야.,It's just your imagination.
아침이랑 똑같은데?,It's the same as this morning?
그치?!\n음....{PlayerName}이(가) 그렇다면 그런거겠지?,Right?!\nHmm.... if {PlayerName} says so` then I guess that's how it is?
설마 방을 몰래 뒤져보기라도 하겠어?,You wouldn’t secretly rummage through the room` would you?
기본 예의가 아니잖아 그런거~,Doing that isn't common courtesy~
...보통 납치범이 할 만한 말은 아닌 것 같은데...,...That doesn't sound like something a typical kidnapper would say...
어어...그치...,Uh... yeah...
괜히 찔려서 눈을 피했다. ,For no reason` I felt a pang of guilt and averted my eyes.
진짜... 오늘도 외출했는데 길거리에 어른들이 잔뜩이어서 너무 힘들었던 거 있지?,Seriously... I went out again today` and there were so many adults on the street that it was really exhausting` you know?
특히 사이비 사람들이 말 걸어오는 건 최악이야....,Especially when cultists try to talk to you` it's the worst....
뭐라고 대답하고 싶은데 결국 아무 말도 못하고 또 길거리에서 숨쉬는 법도 잊을 뻔했던 거 있지?,I wanted to answer` but in the end I couldn’t say a word` and I almost forgot how to breathe out on the street again` you know?
거기다 어른이 조금만 큰소리로 말하면....\n꼭 내가 태어난 게 잘못된 것 같이 느껴져....,And on top of that` if an adult even raises their voice a little....\nIt feels like my being born was a mistake....
역시 인간 실격 같은 거려나~\n...\n농담이야.,Guess it’s “No Longer Human`” after all~\n...\nJust kidding.
태어나지 않았다면 좋았을 텐데....,I wish I had never been born....
실격이고 합격이고 그런게 어딨어.,There's no such thing as pass or fail.
괜찮아?,Are you okay?
아아-♡ 역시 {PlayerName}은(는) 그렇게 말해줄 줄 알았어!,Ahh-♡ I knew {PlayerName} would say that!
...내가 무슨 말을 했다고.,...What are you saying I said?
그래도 날 위해서 해준 말이잖아?,Still` you said it for my sake` didn’t you?
이런 사람은 잘 없단 말이야.\n특히 내 주변엔.,There aren’t many people like this.\nEspecially around me.
역시 데려오는 걸 포기하지 않은 건 정말 잘한 것 같아!,Not giving up on bringing you here was really the right call after all!
있잖아.\n떠나면 안 돼.\n알았지?,Listen.\nYou can't leave.\nGot it?
난 정말 네가 없으면 죽는 것 밖에 방법이 없으니까.,Because without you` I really have no choice but to die.
알았지?,Got it?
우연이 내 옷 소매를 쥐고 말한다.,Accidy clutches my sleeve and says.
...이러니까 주변에 사람이 없었지.,...No wonder there was no one around me.
{PlayerName}! {PlayerName}! ,{PlayerName}! {PlayerName}!
이거 봐 {PlayerName}! 내가 오늘 사온 열쇠고리!,Look at this` {PlayerName}! The keychain I bought today!
곰도리 모양이다?\n귀엽지?,Is it shaped like a teddy bear?\nCute` right?
좋아해?,Do you like me?
비슷한 거 많지 않아?,Aren’t there a lot of similar ones?
미묘하게 다르다고!!\n센스 없어.,I'm telling you it's slightly different!!\nYou've got no sense.
다...당연히 좋아하지!\n{PlayerName}!을 세상에서 가장 좋아하는 건 나일걸?!,
아니 나 말고.\n그 곰....,No` not me.\nThe bear....
아...,Ah...
응! 좋아해.,Yeah! I like it.
좋아하는 이유라도 있어?,Do you even have a reason for liking it?
으음...이유라고 하기엔 좀 부끄러운데...\n특별히 {PlayerName}에게만 말해줄게!,Hmm... It's a bit embarrassing to even call it a reason...\nI'll tell you` and only you` {PlayerName}!
그...게! 좋아하는 사람이랑 처음 주고 받은 커플 아이템이거든♡,Th-that's! It's the first couple's item I ever exchanged with the person I like♡
뭐` 다 과거지만.,Well` it's all in the past` though.
잠깐 우연의 얼굴이 슬퍼 보였다.,For a moment` Accidy’s face looked sad.
...이런 거 신경 써봤자 뭐 해.,...What's the point of worrying about something like this?
어차피 납치범일 뿐이야.,Either way` he’s just a kidnapper.
현혹되지 말자.,Don't be deceived.
벌써 귀가시간인가?,Is it already time to go home?
우연과 함께 지낸 지 어느 덧 4일째다.,It's already day four of living with Accidy.
슬슬 긴장이 풀리는 건지 이젠 잠도 잘 오는 것 같다.,Maybe the tension is finally easing; sleep comes more easily now.
졸려....,I'm sleepy....
{PlayerName}!! 나 왔어...! 나 어째 열쇠랑 키링을 잃어버린 것...,{PlayerName}!! I'm here...! Did I somehow lose my keys and keyring...?
뭐야...벌써 자?,What... going to sleep already?
할 수 없지....\n잘 자...,It can't be helped....\nSleep well...
나 역시 태어나면 안 됐던 걸까?,Was I never meant to be born` either?
그게 무슨 소리야.,What do you mean?
네가 있어서 지금 이렇게 나랑 잘 지내고 있잖아.,Because you're here` we're doing just fine together right now.
그치만....\n집에서 어른들이 다 난 태어나면 안 됐다고 그랬어....,But....\nAll the grown-ups at home said I shouldn't have been born....
그런 생각 하지 마.\n그 어른들 다 이상한 사람들이니까.,Don't think like that.\nAll those adults are weird.
응....,Yeah....
그 사람들은 잊고 우리 꼭 오래오래 행복하자` 알았지?\n여기 곰인형도 지켜준대,Let's forget those people and be happy together for a long` long time` okay?\nThis teddy bear here will protect us too.
꿈에 우연과... 다른 누군가가 나왔다.\n며칠 동안 우연만 봤더니 우연이 꿈에 나온 걸까.,Accidy and... someone else appeared in my dream.\nAfter seeing only Accidy for days` is that why Accidy showed up in my dream?
...이상한 꿈이야.,...It's a strange dream.
좋은 아침!\n오늘은 꽤 늦게까지 잤네?,Good morning!\nYou slept in pretty late today` didn't you?
뭔가 평소보다 더 잔 것 같아.,I think I slept more than usual.
어떻,How...
어떻게 알았냐고?,How did you know?
당연히 전부 기록해놔야지!\n오래오래 함께 해야 하니까!,Of course I have to record everything!\nBecause we have to be together for a long` long time!
다녀올게!\n얌전히 있어!,I'll be back!\nStay put!
{PlayerName}!! 나 왔어!!!,{PlayerName}!! I'm here!!!
...오늘따라 유독 더 밝네.,...it's unusually bright today.
무슨 일 있었어?,Did something happen?
응! 그야 내일부터는 주말이니까!,Yeah! Because the weekend starts tomorrow!
집에서 {PlayerName} 곁에만 꼭 붙어 있을거야♡,
이렇게 {PlayerName}(이)랑 붙어 있을 생각하니까 벌써 너무 신난다!,Just thinking about clinging to {PlayerName} like this already has me so excited!
